sample_id,condition,batch
a63881c9-00b2-4ec2-a190-cc59d9c2d780,0,TCGA-LUSC
a65787d0-c4f9-4b3f-8a4a-34b9ec275f83,2,CPTAC-3
a66efdb1-9ff7-4f65-8ac3-b00ed4dc9135,2,CPTAC-3
a6e85696-c0ad-45b1-aa18-7293346d30f1,2,TCGA-LUSC
a6fcc506-61fb-431f-a7b2-a6a53d82c4c6,2,CPTAC-3
a716037c-61e3-4293-9bac-4d78d6ee42f1,0,CDDP_EAGLE-1
a71c722c-3483-4910-926d-c79b6c9a4e7d,1,TCGA-LUAD
a75080ab-34b0-4879-bcd2-96b4f69d2cdc,1,CGCI-HTMCP-LC
0215d9f8-36a8-438a-abb3-eb96c5a087ac,0,CPTAC-3
11f764d3-db26-4569-acf4-87fe91bfe1ce,2,CPTAC-3
a79328d0-1da2-4a72-a319-2badd03985e3,0,TCGA-LUSC
a7f3a08f-e829-45f8-b993-be2039e41132,1,CPTAC-3
a826079b-78ec-4816-a95d-d45ab15a88f4,1,CPTAC-3
a8b91eb0-957c-4c56-b46b-e4a6766ed098,2,CPTAC-3
a8c8cbc5-e771-4ba5-b53f-00b53cd032fd,0,TCGA-LUSC
a900a6d8-fca8-4bba-8fc8-eb711fa2fde5,1,CPTAC-3
a93145ce-3c0a-4e29-980b-0da740af3e9b,1,APOLLO-LUAD
a94794ac-2691-4a8a-8329-c5aae6669d16,0,TCGA-LUSC
a9668f17-f4fa-41bb-8b79-45efbac6a7d4,2,CPTAC-3
a9ab3d43-9750-4700-a999-ad9a035394e7,1,CPTAC-3
a9c747d1-1d2e-46f9-be7f-03208ea9f720,1,CPTAC-3
aaa72a07-5214-4145-9fb5-99c22b7c248a,0,TCGA-LUAD
aab3583f-37ca-4f2f-8428-aa8eda2c2274,1,TCGA-LUAD
aae8b819-2be3-4985-ae56-5d88b21e6fd4,0,TCGA-LUSC
ab24be1b-969c-48f2-bc98-8b89bc719b4c,0,TCGA-LUAD
